AP_BSSID,SSID,Vendor,ClientCount,DominantBand
ff:ff:ff:ff:ff:ff,MEviuPuoi311,Unknown Vendor,4,2.4GHz
00:3e:73:42:be:23,SaveMoney,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:be:25,Walmartwifi,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:4e:a5,SwimUpstream,"Mist Systems, Inc.",2,5GHz
00:3e:73:42:4e:a8,HEATKTE-NG,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:4e:a9,Eagle,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:4e:aa,Walmartwifi,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:4e:ab,LiveBetter,"Mist Systems, Inc.",0,5GHz
d4:dc:09:ab:ed:b1,Private,"Mist Systems, Inc.",0,5GHz
d4:dc:09:ab:ed:b2,Lumen Guest,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b1:75,SwimUpstream,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b1:78,HEATKTE-NG,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b1:79,Eagle,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b1:7a,Walmartwifi,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b1:7b,LiveBetter,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b1:03,SaveMoney,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:b1:05,Walmartwifi,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:b5:cb,LiveBetter,"Mist Systems, Inc.",0,5GHz
32:9b:d6:f7:57:42,Master TV,Unknown Vendor,0,5GHz
00:3e:73:42:b5:c5,SwimUpstream,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b5:c8,HEATKTE-NG,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b5:c9,Eagle,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b5:ca,Walmartwifi,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b5:c4,MEviuPuoi311,"Mist Systems, Inc.",2,5GHz
52:54:00:5e:1d:21,,Unknown Vendor,21,5GHz
00:3e:73:42:b5:e3,SaveMoney,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:b5:e5,Walmartwifi,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:b7:33,SaveMoney,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:b7:35,Walmartwifi,"Mist Systems, Inc.",1,2.4GHz
38:88:71:05:eb:32,Verizon_QT69PG,ASKEY COMPUTER CORP,0,2.4GHz
00:3e:73:71:16:02,SaveMoney,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:d1:d3,SaveMoney,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:be:05,SwimUpstream,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:be:08,HEATKTE-NG,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:be:09,Eagle,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:be:0a,Walmartwifi,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:be:0b,LiveBetter,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:be:04,MEviuPuoi311,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b4:a5,SwimUpstream,"Mist Systems, Inc.",2,5GHz
00:3e:73:42:b4:a8,HEATKTE-NG,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b4:a9,Eagle,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b4:aa,Walmartwifi,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b4:ab,LiveBetter,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:9f:75,SwimUpstream,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:9f:78,HEATKTE-NG,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:9f:79,Eagle,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:9f:7a,Walmartwifi,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:9f:7b,LiveBetter,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:d1:d5,Walmartwifi,"Mist Systems, Inc.",0,2.4GHz
00:3e:73:42:9f:74,MEviuPuoi311,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b0:e5,SwimUpstream,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b0:e8,HEATKTE-NG,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b0:e9,Eagle,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b0:ea,Walmartwifi,"Mist Systems, Inc.",0,5GHz
00:3e:73:42:b0:eb,LiveBetter,"Mist Systems, Inc.",0,5GHz
