ClientMAC,Vendor,FirstSeen,LastSeen,DurationSeconds,RandomizedMAC,ProbeCount,AssociationCount,RoamCount,AnomalyCount,RSSI_Strongest,RSSI_Weakest,RSSI_Average,DominantBand
00:3e:73:42:4e:a4,"Mist Systems, Inc.",1766154688.201210,1766154962.531308,274.330098,False,0,0,0,1,-69,-87,-80.55555555555556,5GHz
00:3e:73:42:4e:a5,"Mist Systems, Inc.",1766154688.201384,1766154962.531634,274.330250,False,0,0,0,0,-69,-86,-81.22142857142858,5GHz
00:3e:73:42:4e:a8,"Mist Systems, Inc.",1766154688.201646,1766154962.556644,274.354998,False,0,0,0,0,-69,-86,-80.98989898989899,5GHz
00:3e:73:42:4e:a9,"Mist Systems, Inc.",1766154688.201883,1766154962.532208,274.330325,False,0,0,0,0,-69,-86,-81.36986301369863,5GHz
00:3e:73:42:4e:aa,"Mist Systems, Inc.",1766154688.202132,1766154962.532423,274.330291,False,0,0,0,0,-76,-87,-81.48684210526316,5GHz
00:3e:73:42:4e:ab,"Mist Systems, Inc.",1766154688.202507,1766154962.558146,274.355639,False,0,0,0,0,-72,-87,-81.20952380952382,5GHz
00:3e:73:42:83:24,"Mist Systems, Inc.",1766154695.635581,1766154960.648592,265.013011,False,0,0,0,1,-60,-76,-67.19727891156462,5GHz
00:3e:73:42:83:25,"Mist Systems, Inc.",1766154695.635759,1766154960.648792,265.013033,False,0,0,0,0,-60,-73,-67.02605863192183,5GHz
00:3e:73:42:83:28,"Mist Systems, Inc.",1766154695.636007,1766154960.649046,265.013039,False,0,0,0,0,-60,-73,-67.03478260869565,5GHz
00:3e:73:42:83:29,"Mist Systems, Inc.",1766154695.636508,1766154960.649320,265.012812,False,0,0,0,0,-62,-74,-68.17142857142858,5GHz
00:3e:73:42:83:2a,"Mist Systems, Inc.",1766154695.739008,1766154960.649657,264.910649,False,0,0,0,0,-60,-73,-66.48235294117647,5GHz
00:3e:73:42:83:2b,"Mist Systems, Inc.",1766154695.636938,1766154960.649926,265.012988,False,0,0,0,0,-60,-74,-66.40677966101696,5GHz
00:3e:73:42:94:f9,"Mist Systems, Inc.",1766154723.612024,1766154723.612024,0.000000,False,0,0,0,0,-95,-95,-95.0,5GHz
00:3e:73:42:95:b4,"Mist Systems, Inc.",1766154707.522079,1766154963.216947,255.694868,False,0,0,0,1,-83,-92,-86.38356164383562,5GHz
00:3e:73:42:95:b5,"Mist Systems, Inc.",1766154707.624236,1766154954.000450,246.376214,False,0,0,0,0,-82,-90,-86.41269841269842,5GHz
00:3e:73:42:95:b8,"Mist Systems, Inc.",1766154707.624541,1766154963.217637,255.593096,False,0,0,0,0,-83,-92,-86.64383561643835,5GHz
00:3e:73:42:95:b9,"Mist Systems, Inc.",1766154707.624763,1766154954.000929,246.376166,False,0,0,0,0,-83,-89,-86.65517241379311,5GHz
00:3e:73:42:95:ba,"Mist Systems, Inc.",1766154707.625008,1766154954.001199,246.376191,False,0,0,0,0,-82,-91,-86.6875,5GHz
00:3e:73:42:95:bb,"Mist Systems, Inc.",1766154707.625425,1766154963.218456,255.593031,False,0,0,0,0,-82,-92,-86.55813953488372,5GHz
00:3e:73:42:95:d2,"Mist Systems, Inc.",1766154734.358647,1766154952.778326,218.419679,False,0,0,0,0,-73,-81,-77.7,2.4GHz
00:3e:73:42:95:d3,"Mist Systems, Inc.",1766154697.290187,1766154952.881089,255.590902,False,0,0,0,0,-73,-81,-77.6875,2.4GHz
00:3e:73:42:95:d5,"Mist Systems, Inc.",1766154734.461632,1766154952.779008,218.317376,False,0,0,0,0,-75,-78,-76.66666666666667,2.4GHz
00:3e:73:42:9f:74,"Mist Systems, Inc.",1766154689.877667,1766154964.311985,274.434318,False,0,0,0,1,-76,-91,-83.73076923076923,5GHz
00:3e:73:42:9f:75,"Mist Systems, Inc.",1766154689.877771,1766154964.312241,274.434470,False,0,0,0,0,-69,-91,-83.91176470588235,5GHz
00:3e:73:42:9f:78,"Mist Systems, Inc.",1766154689.878258,1766154964.312449,274.434191,False,0,0,0,0,-76,-91,-83.6923076923077,5GHz
00:3e:73:42:9f:79,"Mist Systems, Inc.",1766154689.878418,1766154964.312861,274.434443,False,0,0,0,0,-70,-91,-83.56470588235294,5GHz
00:3e:73:42:9f:7a,"Mist Systems, Inc.",1766154689.878693,1766154964.313012,274.434319,False,0,0,0,0,-70,-90,-83.06315789473685,5GHz
00:3e:73:42:9f:7b,"Mist Systems, Inc.",1766154689.879089,1766154964.313356,274.434267,False,0,0,0,0,-73,-90,-83.41489361702128,5GHz
00:3e:73:42:b0:e4,"Mist Systems, Inc.",1766154690.071222,1766154964.569195,274.497973,False,0,0,0,1,-65,-81,-72.5609756097561,5GHz
00:3e:73:42:b0:e5,"Mist Systems, Inc.",1766154690.071308,1766154964.504046,274.432738,False,0,0,0,0,-66,-80,-71.01840490797547,5GHz
00:3e:73:42:b0:e8,"Mist Systems, Inc.",1766154690.071554,1766154964.511414,274.439860,False,0,0,0,0,-66,-80,-72.25961538461539,5GHz
00:3e:73:42:b0:e9,"Mist Systems, Inc.",1766154690.071986,1766154964.504633,274.432647,False,0,0,0,0,-65,-80,-71.8157894736842,5GHz
00:3e:73:42:b0:ea,"Mist Systems, Inc.",1766154690.072257,1766154964.504883,274.432626,False,0,0,0,0,-65,-80,-72.56470588235294,5GHz
00:3e:73:42:b0:eb,"Mist Systems, Inc.",1766154690.072422,1766154964.505134,274.432712,False,0,0,0,0,-65,-80,-73.25490196078431,5GHz
00:3e:73:42:b1:02,"Mist Systems, Inc.",1766154688.927336,1766154966.942911,278.015575,False,0,0,0,0,-54,-72,-62.63090128755365,2.4GHz
00:3e:73:42:b1:03,"Mist Systems, Inc.",1766154688.916833,1766154966.943350,278.026517,False,0,0,0,0,-50,-72,-62.41187050359712,2.4GHz
00:3e:73:42:b1:05,"Mist Systems, Inc.",1766154688.928047,1766154966.943601,278.015554,False,0,0,0,0,-54,-71,-62.46280991735537,2.4GHz
00:3e:73:42:b1:74,"Mist Systems, Inc.",1766154688.655960,1766154962.885187,274.229227,False,0,0,0,1,-78,-94,-88.54807692307692,5GHz
00:3e:73:42:b1:75,"Mist Systems, Inc.",1766154688.656340,1766154962.989793,274.333453,False,0,0,0,0,-78,-94,-88.45833333333333,5GHz
00:3e:73:42:b1:78,"Mist Systems, Inc.",1766154688.656556,1766154953.772137,265.115581,False,0,0,0,0,-70,-94,-87.92307692307692,5GHz
00:3e:73:42:b1:79,"Mist Systems, Inc.",1766154688.656777,1766154953.772418,265.115641,False,0,0,0,0,-78,-94,-87.77966101694915,5GHz
00:3e:73:42:b1:7a,"Mist Systems, Inc.",1766154688.657023,1766154953.772634,265.115611,False,0,0,0,0,-70,-94,-87.92307692307692,5GHz
00:3e:73:42:b1:7b,"Mist Systems, Inc.",1766154688.657426,1766154953.773008,265.115582,False,0,0,0,0,-78,-94,-87.92307692307692,5GHz
00:3e:73:42:b1:92,"Mist Systems, Inc.",1766154698.301285,1766154946.213059,247.911774,False,0,0,0,0,-63,-82,-75.83870967741936,2.4GHz
00:3e:73:42:b1:93,"Mist Systems, Inc.",1766154702.705031,1766154851.268207,148.563176,False,0,0,0,0,-62,-82,-75.42622950819673,2.4GHz
00:3e:73:42:b1:95,"Mist Systems, Inc.",1766154700.247632,1766154835.109785,134.862153,False,0,0,0,0,-69,-79,-74.47619047619048,2.4GHz
00:3e:73:42:b4:a4,"Mist Systems, Inc.",1766154689.657086,1766154963.987559,274.330473,False,0,0,0,1,-76,-92,-84.95555555555555,5GHz
00:3e:73:42:b4:a5,"Mist Systems, Inc.",1766154689.657303,1766154964.021556,274.364253,False,0,0,0,0,-69,-92,-84.3391304347826,5GHz
00:3e:73:42:b4:a8,"Mist Systems, Inc.",1766154689.657549,1766154963.988035,274.330486,False,0,0,0,0,-70,-92,-84.8735632183908,5GHz
00:3e:73:42:b4:a9,"Mist Systems, Inc.",1766154689.657799,1766154963.988313,274.330514,False,0,0,0,0,-70,-92,-84.74647887323944,5GHz
00:3e:73:42:b4:aa,"Mist Systems, Inc.",1766154689.658153,1766154963.988657,274.330504,False,0,0,0,0,-77,-92,-84.94520547945206,5GHz
00:3e:73:42:b4:ab,"Mist Systems, Inc.",1766154689.658424,1766154963.988882,274.330458,False,0,0,0,0,-69,-92,-84.55319148936171,5GHz
00:3e:73:42:b5:c4,"Mist Systems, Inc.",1766154688.954628,1766154963.181896,274.227268,False,0,0,0,1,-77,-89,-84.83544303797468,5GHz
00:3e:73:42:b5:c5,"Mist Systems, Inc.",1766154688.954771,1766154963.200535,274.245764,False,0,0,0,0,-72,-90,-84.10194174757281,5GHz
00:3e:73:42:b5:c8,"Mist Systems, Inc.",1766154688.955054,1766154963.229899,274.274845,False,0,0,0,0,-77,-90,-84.82089552238806,5GHz
00:3e:73:42:b5:c9,"Mist Systems, Inc.",1766154688.955355,1766154963.182757,274.227402,False,0,0,0,0,-77,-90,-84.94827586206897,5GHz
00:3e:73:42:b5:ca,"Mist Systems, Inc.",1766154688.955680,1766154963.080713,274.125033,False,0,0,0,0,-77,-90,-84.3731343283582,5GHz
00:3e:73:42:b5:cb,"Mist Systems, Inc.",1766154688.938202,1766154963.080901,274.142699,False,0,0,0,0,-77,-90,-84.91489361702128,5GHz
00:3e:73:42:b5:e2,"Mist Systems, Inc.",1766154688.948367,1766154959.181932,270.233565,False,0,0,0,0,-64,-80,-73.01282051282051,2.4GHz
00:3e:73:42:b5:e3,"Mist Systems, Inc.",1766154688.943597,1766154953.755027,264.811430,False,0,0,0,0,-65,-83,-72.41960784313726,2.4GHz
00:3e:73:42:b5:e5,"Mist Systems, Inc.",1766154688.949055,1766154949.352052,260.402997,False,0,0,0,0,-65,-80,-72.20224719101124,2.4GHz
00:3e:73:42:b7:14,"Mist Systems, Inc.",1766154695.649187,1766154960.661833,265.012646,False,0,0,0,1,-68,-86,-79.18446601941747,5GHz
00:3e:73:42:b7:15,"Mist Systems, Inc.",1766154695.649425,1766154960.662045,265.012620,False,0,0,0,0,-68,-87,-79.17088607594937,5GHz
00:3e:73:42:b7:18,"Mist Systems, Inc.",1766154695.649675,1766154960.662472,265.012797,False,0,0,0,0,-68,-87,-79.47311827956989,5GHz
00:3e:73:42:b7:19,"Mist Systems, Inc.",1766154695.650029,1766154960.662663,265.012634,False,0,0,0,0,-68,-87,-78.20833333333333,5GHz
00:3e:73:42:b7:1a,"Mist Systems, Inc.",1766154695.650299,1766154960.662926,265.012627,False,0,0,0,0,-68,-87,-79.93506493506493,5GHz
00:3e:73:42:b7:1b,"Mist Systems, Inc.",1766154695.650551,1766154960.663284,265.012733,False,0,0,0,0,-69,-86,-80.07272727272728,5GHz
00:3e:73:42:b7:32,"Mist Systems, Inc.",1766154689.199142,1766154965.066032,275.866890,False,0,0,0,0,-60,-78,-70.34545454545454,2.4GHz
00:3e:73:42:b7:33,"Mist Systems, Inc.",1766154689.199569,1766154967.116017,277.916448,False,0,0,0,1,-42,-80,-69.043,2.4GHz
00:3e:73:42:b7:35,"Mist Systems, Inc.",1766154689.199823,1766154964.964897,275.765074,False,0,0,0,0,-59,-79,-69.31625183016105,2.4GHz
00:3e:73:42:b8:64,"Mist Systems, Inc.",1766154695.398308,1766154960.410964,265.012656,False,0,0,0,1,-71,-88,-79.85365853658537,5GHz
00:3e:73:42:b8:65,"Mist Systems, Inc.",1766154695.398525,1766154960.411137,265.012612,False,0,0,0,0,-68,-88,-78.812,5GHz
00:3e:73:42:b8:68,"Mist Systems, Inc.",1766154695.398769,1766154960.411383,265.012614,False,0,0,0,0,-68,-88,-78.89041095890411,5GHz
00:3e:73:42:b8:69,"Mist Systems, Inc.",1766154695.399092,1766154960.411633,265.012541,False,0,0,0,0,-68,-87,-78.72602739726027,5GHz
00:3e:73:42:b8:6a,"Mist Systems, Inc.",1766154695.399434,1766154960.412046,265.012612,False,0,0,0,0,-68,-88,-80.09876543209876,5GHz
00:3e:73:42:b8:6b,"Mist Systems, Inc.",1766154695.399675,1766154960.412299,265.012624,False,0,0,0,0,-68,-87,-79.83132530120481,5GHz
00:3e:73:42:be:04,"Mist Systems, Inc.",1766154689.453342,1766154963.578794,274.125452,False,0,0,0,1,-72,-87,-80.45945945945945,5GHz
00:3e:73:42:be:05,"Mist Systems, Inc.",1766154689.453540,1766154963.579011,274.125471,False,0,0,0,0,-72,-87,-81.03875968992249,5GHz
00:3e:73:42:be:08,"Mist Systems, Inc.",1766154689.453895,1766154963.579383,274.125488,False,0,0,0,0,-74,-87,-80.27777777777777,5GHz
00:3e:73:42:be:09,"Mist Systems, Inc.",1766154689.454175,1766154963.579633,274.125458,False,0,0,0,0,-72,-86,-80.88235294117646,5GHz
00:3e:73:42:be:0a,"Mist Systems, Inc.",1766154689.454480,1766154963.579883,274.125403,False,0,0,0,0,-73,-87,-80.66233766233766,5GHz
