Timestamp,Source,BSSID,Channel,FrequencyMHz,Band
1766154687.875120,02:13:37:ac:84:38,ff:ff:ff:ff:ff:ff,,2437,2.4GHz
1766154687.899448,3e:76:d4:0b:6b:90,ff:ff:ff:ff:ff:ff,,2437,2.4GHz
1766154687.914765,3e:76:d4:0b:6b:90,ff:ff:ff:ff:ff:ff,,2437,2.4GHz
1766154687.930026,3e:76:d4:0b:6b:90,ff:ff:ff:ff:ff:ff,,2437,2.4GHz
1766154687.940832,00:3e:73:42:be:22,00:3e:73:42:be:22,6.0,2437,2.4GHz
1766154687.941258,00:3e:73:42:be:23,00:3e:73:42:be:23,6.0,2437,2.4GHz
1766154687.941508,00:3e:73:42:be:25,00:3e:73:42:be:25,6.0,2437,2.4GHz
1766154688.042854,00:3e:73:42:be:22,00:3e:73:42:be:22,6.0,2437,2.4GHz
1766154688.043259,00:3e:73:42:be:23,00:3e:73:42:be:23,6.0,2437,2.4GHz
1766154688.043508,00:3e:73:42:be:25,00:3e:73:42:be:25,6.0,2437,2.4GHz
1766154688.079083,12:d2:d6:89:6d:52,ff:ff:ff:ff:ff:ff,,2437,2.4GHz
1766154688.079884,00:3e:73:42:be:23,00:3e:73:42:be:23,,2437,2.4GHz
1766154688.080419,00:3e:73:42:be:23,00:3e:73:42:be:23,,2437,2.4GHz
1766154688.080883,00:3e:73:42:be:23,00:3e:73:42:be:23,,2437,2.4GHz
1766154688.081382,00:3e:73:42:be:23,00:3e:73:42:be:23,,2437,2.4GHz
1766154688.100311,00:3e:73:42:be:23,00:3e:73:42:be:23,,2437,2.4GHz
1766154688.100759,00:3e:73:42:be:23,00:3e:73:42:be:23,,2437,2.4GHz
1766154688.101383,00:3e:73:42:be:23,00:3e:73:42:be:23,,2437,2.4GHz
1766154688.101884,00:3e:73:42:be:23,00:3e:73:42:be:23,,2437,2.4GHz
1766154688.201210,00:3e:73:42:4e:a4,00:3e:73:42:4e:a4,,5805,5GHz
1766154688.201384,00:3e:73:42:4e:a5,00:3e:73:42:4e:a5,,5805,5GHz
1766154688.201646,00:3e:73:42:4e:a8,00:3e:73:42:4e:a8,,5805,5GHz
1766154688.201883,00:3e:73:42:4e:a9,00:3e:73:42:4e:a9,,5805,5GHz
1766154688.202132,00:3e:73:42:4e:aa,00:3e:73:42:4e:aa,,5805,5GHz
1766154688.202507,00:3e:73:42:4e:ab,00:3e:73:42:4e:ab,,5805,5GHz
1766154688.306974,00:3e:73:42:4e:a4,00:3e:73:42:4e:a4,,5805,5GHz
1766154688.307171,00:3e:73:42:4e:a5,00:3e:73:42:4e:a5,,5805,5GHz
1766154688.307625,00:3e:73:42:4e:a8,00:3e:73:42:4e:a8,,5805,5GHz
1766154688.307779,00:3e:73:42:4e:a9,00:3e:73:42:4e:a9,,5805,5GHz
1766154688.308081,00:3e:73:42:4e:aa,00:3e:73:42:4e:aa,,5805,5GHz
1766154688.308480,00:3e:73:42:4e:ab,00:3e:73:42:4e:ab,,5805,5GHz
1766154688.408721,d4:dc:09:ab:ed:b1,d4:dc:09:ab:ed:b1,,5660,5GHz
1766154688.409133,d4:dc:09:ab:ed:b2,d4:dc:09:ab:ed:b2,,5660,5GHz
