RandomizedMAC,SSID,BSSID,Band
3e:76:d4:0b:6b:90,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
32:9b:d6:f7:57:42,Master TV,32:9b:d6:f7:57:42,5GHz
86:a9:41:b5:d9:60,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
6e:2a:ae:54:f4:4b,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
6e:2a:ae:54:f4:4b,SwimUpstream,00:3e:73:42:be:35,5GHz
02:13:37:ac:84:38,Randyland,ff:ff:ff:ff:ff:ff,2.4GHz
f6:3d:ad:df:a9:1e,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
ce:84:c4:5f:0a:5a,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
8e:4d:26:e8:21:09,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
a6:6a:44:92:ab:37,VIZIOCastDisplay5784,a6:6a:44:92:ab:37,5GHz
02:95:9d:e8:2d:df,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
8a:41:a4:ce:6b:d9,Top spot#1,ff:ff:ff:ff:ff:ff,5GHz
8a:41:a4:ce:6b:d9,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
8a:41:a4:ce:6b:d9,#1Topspot,ff:ff:ff:ff:ff:ff,5GHz
2a:2d:17:6a:43:09,Walmartwifi,ff:ff:ff:ff:ff:ff,2.4GHz
c2:81:2a:af:be:69,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
62:a3:5f:d0:db:15,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
a2:3e:b9:d6:bd:6f,MEviuPuoi311,ff:ff:ff:ff:ff:ff,5GHz
72:f2:2b:a3:d4:ec,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
fa:0d:ac:bf:56:1b,DIRECT-1B-HP OfficeJet 9010,fa:0d:ac:bf:56:1b,2.4GHz
32:ab:0c:74:b6:50,KUciVpFt8S1C,ff:ff:ff:ff:ff:ff,5GHz
32:ab:0c:74:b6:50,MEviuPuoi311,ff:ff:ff:ff:ff:ff,5GHz
c2:4c:a5:0a:a5:2f,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
46:1f:50:30:21:10,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
0e:50:57:ab:c5:b0,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
fe:5b:f8:49:0a:2e,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
ee:1f:06:e7:8b:26,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
c2:80:3c:63:d3:5b,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
9a:c9:6e:a5:6c:c0,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
52:e8:32:76:2a:7d,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
1a:1a:f3:7d:e5:db,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
56:0c:a4:bc:ca:23,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
fe:af:c5:2b:22:3d,LiveBetter,ff:ff:ff:ff:ff:ff,5GHz
ee:17:10:1b:07:52,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
fe:f9:97:ca:b0:45,Walmartwifi,ff:ff:ff:ff:ff:ff,5GHz
ee:6a:2f:67:bd:cf,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
ea:6d:2d:56:5e:66,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
76:04:7a:e9:7c:1c,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
d6:d0:4d:99:ef:f9,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
f6:35:64:ce:95:16,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
be:63:5f:58:f3:bc,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
b6:83:05:3f:f3:eb,SwimUpstream,ff:ff:ff:ff:ff:ff,5GHz
ae:b4:a7:ee:18:bb,SwimUpstream,ff:ff:ff:ff:ff:ff,2.4GHz
