ClientMAC,Timestamp,RSSI,Band
02:13:37:ac:84:38,1766154687.87512,-5,2.4GHz
02:13:37:ac:84:38,1766154690.641697,-3,2.4GHz
02:13:37:ac:84:38,1766154690.642952,-3,2.4GHz
02:13:37:ac:84:38,1766154693.085715,-6,2.4GHz
02:13:37:ac:84:38,1766154693.086786,-6,2.4GHz
02:13:37:ac:84:38,1766154705.242858,-3,2.4GHz
02:13:37:ac:84:38,1766154710.457714,-2,2.4GHz
02:13:37:ac:84:38,1766154710.458915,-3,2.4GHz
02:13:37:ac:84:38,1766154713.25072,-2,2.4GHz
02:13:37:ac:84:38,1766154722.613717,-3,2.4GHz
02:13:37:ac:84:38,1766154727.833746,-2,2.4GHz
02:13:37:ac:84:38,1766154730.613965,-1,2.4GHz
02:13:37:ac:84:38,1766154730.615051,-3,2.4GHz
02:13:37:ac:84:38,1766154735.835076,-13,2.4GHz
02:13:37:ac:84:38,1766154745.193742,-1,2.4GHz
02:13:37:ac:84:38,1766154745.194781,-1,2.4GHz
02:13:37:ac:84:38,1766154750.405571,-4,2.4GHz
02:13:37:ac:84:38,1766154750.406933,-4,2.4GHz
02:13:37:ac:84:38,1766154756.797714,-1,2.4GHz
02:13:37:ac:84:38,1766154756.798906,-1,2.4GHz
02:13:37:ac:84:38,1766154759.233722,-3,2.4GHz
02:13:37:ac:84:38,1766154759.235082,-4,2.4GHz
02:13:37:ac:84:38,1766154776.601724,-3,2.4GHz
02:13:37:ac:84:38,1766154779.385715,0,2.4GHz
02:13:37:ac:84:38,1766154792.633592,-41,2.4GHz
02:13:37:ac:84:38,1766154793.989715,-2,2.4GHz
02:13:37:ac:84:38,1766154793.99078,-2,2.4GHz
02:13:37:ac:84:38,1766154796.773966,-1,2.4GHz
02:13:37:ac:84:38,1766154796.775031,-1,2.4GHz
02:13:37:ac:84:38,1766154805.863094,-3,2.4GHz
02:13:37:ac:84:38,1766154808.025711,-3,2.4GHz
02:13:37:ac:84:38,1766154808.026667,-4,2.4GHz
02:13:37:ac:84:38,1766154810.809716,-3,2.4GHz
02:13:37:ac:84:38,1766154810.810655,-3,2.4GHz
02:13:37:ac:84:38,1766154820.187219,-2,2.4GHz
02:13:37:ac:84:38,1766154822.961739,-2,2.4GHz
02:13:37:ac:84:38,1766154822.962782,0,2.4GHz
02:13:37:ac:84:38,1766154825.401726,-4,2.4GHz
02:13:37:ac:84:38,1766154825.40309,-3,2.4GHz
02:13:37:ac:84:38,1766154828.19011,-5,2.4GHz
02:13:37:ac:84:38,1766154828.191202,-3,2.4GHz
02:13:37:ac:84:38,1766154842.777766,-2,2.4GHz
02:13:37:ac:84:38,1766154842.778865,-2,2.4GHz
02:13:37:ac:84:38,1766154845.562127,-5,2.4GHz
02:13:37:ac:84:38,1766154851.057699,-46,2.4GHz
02:13:37:ac:84:38,1766154852.134843,-14,2.4GHz
02:13:37:ac:84:38,1766154854.929704,-4,2.4GHz
02:13:37:ac:84:38,1766154862.938851,-5,2.4GHz
02:13:37:ac:84:38,1766154877.52959,-3,2.4GHz
02:13:37:ac:84:38,1766154877.530904,-3,2.4GHz
02:13:37:ac:84:38,1766154894.889715,-2,2.4GHz
02:13:37:ac:84:38,1766154894.890779,-2,2.4GHz
02:13:37:ac:84:38,1766154900.101745,-4,2.4GHz
02:13:37:ac:84:38,1766154912.262836,-1,2.4GHz
02:13:37:ac:84:38,1766154917.48159,-2,2.4GHz
02:13:37:ac:84:38,1766154917.482785,0,2.4GHz
02:13:37:ac:84:38,1766154920.261845,-2,2.4GHz
02:13:37:ac:84:38,1766154925.483219,-13,2.4GHz
02:13:37:ac:84:38,1766154929.073717,-2,2.4GHz
02:13:37:ac:84:38,1766154929.075156,-2,2.4GHz
02:13:37:ac:84:38,1766154943.389742,-2,2.4GHz
02:13:37:ac:84:38,1766154943.390657,-2,2.4GHz
02:13:37:ac:84:38,1766154957.95547,-3,2.4GHz
02:13:37:ac:84:38,1766154960.74159,-2,2.4GHz
02:13:37:ac:84:38,1766154960.742657,-2,2.4GHz
3e:76:d4:0b:6b:90,1766154687.899448,-69,2.4GHz
3e:76:d4:0b:6b:90,1766154687.914765,-69,2.4GHz
3e:76:d4:0b:6b:90,1766154687.930026,-69,2.4GHz
3e:76:d4:0b:6b:90,1766154687.914504,-70,2.4GHz
3e:76:d4:0b:6b:90,1766154687.929773,-68,2.4GHz
3e:76:d4:0b:6b:90,1766154694.779711,-62,2.4GHz
