SSID,FirstSeen,LastSeen,FrameCount,DominantBand
SwimUpstream,1766154687.899448,1766154967.382788,5063,5GHz
SaveMoney,1766154687.941258,1766154967.328110,4455,2.4GHz
Walmartwifi,1766154687.941508,1766154967.372754,3407,2.4GHz
HEATKTE-NG,1766154688.201646,1766154965.861883,1783,5GHz
Eagle,1766154688.201883,1766154965.862258,1209,5GHz
LiveBetter,1766154688.202507,1766154965.862758,1664,5GHz
Private,1766154688.408721,1766154962.775936,121,5GHz
Lumen Guest,1766154688.409133,1766154962.776466,116,5GHz
Master TV,1766154688.944874,1766154963.230879,105,5GHz
MEviuPuoi311,1766154688.966723,1766154967.419223,960,5GHz
Verizon_QT69PG,1766154689.210413,1766154965.890466,355,2.4GHz
Randyland,1766154690.641697,1766154960.741590,30,2.4GHz
VIZIOCastDisplay5784,1766154695.600962,1766154960.613590,73,5GHz
Walmartwifi_2.4,1766154698.935939,1766154947.668867,177,2.4GHz
#1Topspot,1766154700.669169,1766154700.686502,2,5GHz
Top spot#1,1766154700.669523,1766154700.686750,2,5GHz
DIRECT-1B-HP OfficeJet 9010,1766154706.631018,1766154838.930617,11,2.4GHz
KUciVpFt8S1C,1766154716.765657,1766154932.916877,9,5GHz
pocwyg7swean,1766154732.913922,1766154936.029650,39,5GHz
NotchEV,1766154733.136117,1766154854.867677,7,2.4GHz
m53by9cbC72H,1766154747.446500,1766154932.917127,10,5GHz
FLEETCOM,1766154747.804707,1766154776.662215,2,2.4GHz
101,1766154868.016918,1766154868.016918,1,5GHz
bb.hh.wireless,1766154936.834947,1766154936.834947,1,2.4GHz
TMobileWingman,1766154964.454929,1766154964.510558,2,5GHz
